id_prestador,id_especialidad
50500702361674,9
51064412322161,105
51066022321628,105
51064342321791,105
50500212361829,10
51140142336516,105
50620212371197,8
51067562321620,105
50500072361610,9
50260352330326,10
51140142336865,8
51140142336865,105
51140142336910,105
51420212354695,105
50020012719792,9
51140142336927,105
53064272222425,10
52060912322712,3
50300422244040,3
52421192354788,3
50260772330462,9
52064272322849,3
52060352322607,3
51500982361971,105
52063572322736,3
51020012319694,105
51140142336939,105
50067562222586,2
50067562222586,5
50260212330468,9
52260212330470,3
51066232322790,105
50700282378584,9
50020012319826,9
51065392322353,105
50063572222483,10
51420352354791,101
50501052362009,9
50020062319718,2
50020062319718,5
50064272222423,3
50063572322634,101
50700282378582,9
52064062322675,3
53420212354710,9
53420212354710,105
50020092319828,9
50020012319829,9
50020012319844,9
51020022319871,105
51020032319895,105
53064132222472,9
52500282361952,3
51140142336936,105
50260072330472,9
51020122319748,101
14100492325024,1
14100492325024,4
50020072319834,10
50260142330504,9
10820842389288,1
10820842389288,4
51140142336925,101
51140142336925,105
51140142336932,105
51500702361945,101
53064202222478,10
51067562322246,105
50066382222332,101
51062522222545,105
53067492322318,1
53067492322318,4
53064272222429,10
50060352222557,9
52064122322739,3
50260142330483,101
14501052362041,8
14501052362041,1
14501052362041,4
51820632389280,105
51260352330426,105
52060772322402,3
50500632361942,3
52421052354835,3
50065682322752,3
50140142336998,101
14500212361926,1
14500212361926,4
50421052354690,9
51820632389277,105
10820492389305,1
10820492389305,4
51140142336940,105
51260072330452,105
51064412322715,105
52421052354715,3
52421052354715,101
53062702222528,10
14500702362044,1
14500702362044,4
51020012319923,101
51020012319923,105
50820842389335,10
14064412322342,1
14064412322342,4
51140142336952,105
51700282178600,101
50020012319820,101
53068612222578,10
51420212354784,105
10140142236949,1
10140142236949,4
50065812122678,101
50260212330419,9
10061822322698,1
10061822322698,4
50140982337004,8
50420212354728,9
52420212354762,3
50820842189338,8
51700282378562,105
50065682322348,9
52067632322716,3
53063572322870,2
53063572322870,5
51020032319861,105
53060352222555,10
51140142336943,105
50260212330476,9
50500212361921,9
52067602322692,3
52420702354852,3
51060352322860,101
53420212354809,2
53420212354809,5
53421332354814,9
53421332354814,105
51500072361916,101
52620422371244,3
52061822122455,10
53064902222512,105
51062312322765,105
53062452122801,101
51260212330431,101
53500072361962,1
53500072361962,4
50064342322651,101
51140142337003,105
51020032319721,105
50420212354706,9
52421052354806,3
50260072330460,10
51660282374755,105
52065812322858,3
50260072330409,3
51063572322219,105
51820632389278,105
52063572322688,3
50020142319770,9
52940072395740,3
53068612322862,2
53068612322862,5
51180702340364,105
53064272222427,10
53062742222524,10
52064122322743,3
50020032319763,8
51580352368667,105
51820632389306,105
51420212354704,105
51140142336922,105
10140142236930,1
10140142236930,4
53060352222562,101
52064412322817,3
50020012319807,9
52500212362026,3
51820632389318,105
53500282361976,1
53500282361976,4
51500702362008,105
50700282378575,9
53421192354769,9
53421192354769,105
52500492361997,3
14700772378597,3
14700772378597,1
14700772378597,4
50700982378599,9
51660282174770,105
51020112319876,105
51020142319878,105
50500072361936,9
50020092319831,3
51020142319911,105
52421052354803,3
50260352330457,10
52500492361982,3
52500282361991,3
50060562322714,101
50020022319825,9
51020132319879,105
51064412322220,105
50421052354696,9
51066862222774,105
53066232322852,105
52067842322859,3
52062242322720,3
52064342322863,3
14700282378611,8
14700282378611,1
14700282378611,4
51020022319888,105
51140142336992,105
51820632389276,105
10064202222362,1
10064202222362,4
50500072362001,9
52501052362018,3
52501052362018,10
51020112319884,105
50500212361947,101
14500072361989,1
14500072361989,4
51062242322354,105
51421332354823,105
52060912322711,3
52064132322770,3
52500212362016,3
51500072362021,101
50260212330488,9
51020012319904,105
52066582322316,3
52064272322777,3
53660282374759,105
50020062319898,9
51020052319899,105
50940142295712,9
52260212330474,10
51020012319914,105
51020112319924,105
51260772330508,105
50064902222355,8
51501052361959,105
52940072395741,3
50420982354827,9
50700282378586,9
52065602322768,3
52060772322779,3
51020132319903,105
51020052319910,105
51020142319938,105
50260352330510,9
51940142195703,105
51020062319875,105
50420212354705,9
53421052354816,1
53421052354816,4
14020032319767,1
14020032319767,4
51064412322766,101
51064412322766,105
50020012319719,9
51140982336926,105
52421052354854,3
10420212154687,1
10420212154687,4
52421052354756,3
50420212354830,105
51060982322734,105
